company_name,typeOfBusiness,sector,regionsOfOperation,newRegionsTargeting,website
4RA,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Asia,Asia,
Winsystems,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Operator (team involved in offering betting / games / slots to consumers),"Supplier (product, technology or service)",Casino & Games,Europe,Europe,
iGP,"Supplier (product, technology or service)","Casino & Games, Lottery","Europe, Latin America","Asia, Africa, Latin America",https://igpgaming.com/contact-us/
4RA,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Asia,Asia,
NGX,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Africa, Latin America","Africa, Latin America",
4see Advice,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Europe,"Europe, North America, Latin America",
Gaming Audiences,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports","Europe, North America, Asia, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
5OAK Games,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,North America,North America,
69 Games,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Vivo Gaming,"Supplier (product, technology or service)",Casino & Games,Europe,Africa,
Wizards,"Supplier (product, technology or service)","Casino & Games, Bingo, Lottery, Sports Betting, Esports","Europe, North America, Asia, Africa, Latin America","Europe, North America, Asia, Latin America",https://wizards.us/
711 Malta Limited,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,"Europe, Asia, Australasia",
Passion UA,"Supplier (product, technology or service)",Casino & Games,"Europe, Asia, Africa, Latin America, MENA (Middle East North Africa)","Europe, Asia, Africa, Latin America, MENA (Middle East North Africa)",
true.world,"Supplier (product, technology or service)",Casino & Games,"Europe, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America",
ASK AFRICA,"Supplier (product, technology or service)","Casino & Games, Lottery, Sports Betting","Africa, MENA (Middle East North Africa)","Africa, MENA (Middle East North Africa)",https://askafrica.com/
7bet,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
7bet,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Europe,Europe,https://7bet.partners/
7bet - Amber Gaming,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
888AFRICA,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Africa,"Asia, Africa, Latin America",
888AFRICA,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Africa,Africa,
8Skin,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Esports","Europe, North America, Asia, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Latin America, Australasia, MENA (Middle East North Africa)",
TriaV Gaming,"Supplier (product, technology or service)",Casino & Games,Europe,"Asia, Africa, Latin America, MENA (Middle East North Africa)",
Slotsense AI,"Supplier (product, technology or service)","Casino & Games, Sports Betting",Europe,Europe,https://slotsense.ai/
Supplier (product or service),"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, MENA (Middle East North Africa)",
96.com,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Poker, Sports Betting","Europe, North America, Asia, Africa, Latin America, Australasia",MENA (Middle East North Africa),
96Partners,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Poker, Lottery, Sports Betting","Europe, Asia, Africa, Latin America","North America, Australasia",https://www.t.me/workfury
Pick Performance,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,
The Unit,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Other","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
9dx88.com,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting, Esports",Asia,Asia,
A SURE WIN,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Lottery, Sports Betting, Payments",North America,Latin America,
To be set,"Supplier (product, technology or service)",Casino & Games,Europe,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Absolute bet,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,North America,North America,
Abundance Inc.,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Payments","Europe, Africa, MENA (Middle East North Africa)","Asia, Latin America",
Evoplay,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Latin America",Europe,
GOStack,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports, Hospitality, Coin-op/Amusements, Security/Cyber-security, Payments, Tribal, Social, Other",Europe,Europe,https://gostack.eu/
Playson,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Latin America",Africa,
Wild West Gaming,"Supplier (product, technology or service)",Casino & Games,"Europe, Latin America",Africa,https://wildwestgaming.net/
Adamas Sport,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting, Esports, Hospitality, Other","Europe, North America, Latin America, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Admiral,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
NetworX SIA,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Payments",Europe,"Asia, Africa",https://networx.pro/
Fortanach,"Supplier (product, technology or service)","Casino & Games, Lottery, Esports","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
SkyControl.Bet,"Supplier (product, technology or service)",Casino & Games,"Asia, Africa, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
SkyControl.Bet,"Supplier (product, technology or service)",Casino & Games,"Asia, Africa, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://https//skycontrol.bet
BITSO BUSINESS,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports, Payments, Other","Europe, North America, Asia, Latin America","Europe, North America, Latin America",https://bitso.com/business
SmartSoft,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America","Europe, Asia, Africa, Latin America",
A55,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports","Asia, Latin America","Europe, North America",https://a55.tech/
QuickSMS.com,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa",https://www.quicksms.com/
Razor gaming studio,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,
AdmiralBet,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Europe,"Europe, Africa",
Affcorner,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting","North America, Asia",Latin America,https://www.affcorner.com/
Affiliate Edge,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,North America,North America,
SOFTGAMINGS,"Supplier (product, technology or service)",Casino & Games,Europe,Latin America,
Chronopay,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,
Affiliate Program (part of an operator's affiliate program),Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting, Payments","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://betwinner.com/
Pro Xenon Mediathek Ltd,"Supplier (product, technology or service)",Casino & Games,"Europe, North America","Europe, North America, MENA (Middle East North Africa)",
Affiliate Program (part of an operator's affiliate program),Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,https://joinaff.com/
Undercover Paytraff,"Supplier (product, technology or service)","Casino & Games, Poker, Sports Betting","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Operator (team involved in offering betting / games / slots to consumers),"Supplier (product, technology or service)","Casino & Games, Poker","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia",
Affiliate Program (part of an operator's affiliate program),Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, North America",North America,
Affiliate Program (part of an operator's affiliate program),Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Africa,Africa,
Kaboozt A/S,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports","Europe, North America, Asia, Africa, Latin America, Australasia","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.kaboozt.com/
Affiliate Program (part of an operator's affiliate program),Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",North America,North America,
Voluum,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports, Social","Europe, North America, Asia, Africa, Latin America, MENA (Middle East North Africa)","Asia, Latin America, MENA (Middle East North Africa)",
The Sports Lab,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Europe, North America, Asia, Africa, Latin America","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://oddsandmore.com/
Playson,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America","Europe, North America, Asia, Africa, Latin America",
Ai solutions,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, MENA (Middle East North Africa)","Europe, Africa, MENA (Middle East North Africa)",
PITCH TECH,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports",Europe,"Europe, North America",
AIMLABS,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting, Social","Europe, North America, Asia",Africa,
AK Games,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Alea,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, North America, Asia, Latin America","Europe, North America, Asia, Latin America",
Winfinity,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,https://winfinity.live/
Booming Games,"Supplier (product, technology or service)",Casino & Games,"Europe, Asia, Africa, Latin America",North America,
Slyse,"Supplier (product, technology or service)","Casino & Games, Payments",Europe,Europe,https://slyse.me/
Alea,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Bingo, Poker, Lottery, Sports Betting, Esports, Hospitality, Coin-op/Amusements, Security/Cyber-security, Payments, Social","Europe, North America, Latin America","Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
AlfaWolf,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Africa,Asia,
Exhibition Visuals,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,
OPEN MIND,"Supplier (product, technology or service)",Casino & Games,Europe,Europe,http://www.bitcomunication.it/
Bicker Elektronik GmbH,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://www.bicker.de/
Softquo Holding,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Europe, Asia, Africa, Latin America","North America, Australasia",http://www.vir2algames.com/
HWG,"Supplier (product, technology or service)",Casino & Games,Asia,Africa,https://herewe-pay.com/
Play'n GO,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America, MENA (Middle East North Africa)","Africa, MENA (Middle East North Africa)",
AllSet Partners,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting, Esports",Europe,Europe,
On my own,"Supplier (product, technology or service)","Casino & Games, Social",North America,North America,https://raulhere.com/
SOFTSWISS,"Supplier (product, technology or service)",Casino & Games,Latin America,Africa,
Allwyn,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Lottery",Europe,Europe,
Allwyn,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Lottery, Sports Betting",Europe,Europe,
Poggiplay,"Supplier (product, technology or service)",Casino & Games,"Europe, Asia, Africa","Asia, Latin America",
Optimove,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Other","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Winsystems,"Supplier (product, technology or service)","Casino & Games, Lottery, Sports Betting","Europe, North America, Africa, Latin America","Europe, North America, Africa, Latin America",
ALPECA LIMITED,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, Australasia",https://4tuna.com/
Winsystems,"Supplier (product, technology or service)","Casino & Games, Lottery","Europe, North America, Africa, Latin America","Europe, North America, Africa, Latin America",
ALPECA LIMITED,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Australasia",Asia,https://4tuna.com/
Alpeca Limited,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, North America, Australasia","Europe, North America, Australasia",
MASCOT GAMING,"Supplier (product, technology or service)",Casino & Games,North America,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://mascot.games/games
Tecnasys Global IT Solutions,"Supplier (product, technology or service)","Casino & Games, Hospitality, Security/Cyber-security","Europe, North America, Latin America",MENA (Middle East North Africa),https://www.tecnasys.com/
MASCOT GAMING,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
MASCOT GAMING,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Alpha Affiliates,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Asia, Latin America, Australasia",Europe,
Belatra,"Supplier (product, technology or service)",Casino & Games,"Europe, Latin America, Australasia","Africa, Latin America",https://belatragames.com/
Supplier (product or service),"Supplier (product, technology or service)",Casino & Games,"Europe, Latin America",Africa,
Alpha Affiliates,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Latin America","Asia, Latin America",
Alphaxbets,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
NetRefer,"Supplier (product, technology or service)","Casino & Games, Bingo, Poker, Lottery, Sports Betting","Europe, Asia, Africa",Latin America,https://www.netrefer.com/
Jackpot Vision,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
Jackpot Vision,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",
GammaSweep,"Supplier (product, technology or service)",Casino & Games,"Europe, North America",Asia,https://www.gammasweep.com/
GammaStack,"Supplier (product, technology or service)",Casino & Games,"Europe, Asia",North America,
GammaStack,"Supplier (product, technology or service)",Casino & Games,Europe,"North America, Asia",
Alphaxbets,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, North America, Asia, Africa, Latin America","Europe, North America, Asia, Africa, Latin America",
GameMathLab,"Supplier (product, technology or service)",Casino & Games,Europe,"North America, Latin America",
Alphos Ventures,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Lottery","Asia, Africa, Latin America, Australasia","Asia, Africa, Latin America",http://quizdom-cash.com/
Amusnet Gaming Malta,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Asia, Africa, Latin America","Asia, Africa, Australasia, MENA (Middle East North Africa)",https://www.amusnet.com/
Amusnet Interactive,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Latin America","North America, Africa, Latin America",
Amwest Entertainment,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Other","North America, Asia","North America, Asia, Latin America",
LA FINTECA,"Supplier (product, technology or service)",Casino & Games,Latin America,Latin America,
Antre consultech,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
API LX,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",https://apilx.co/
Aposta Ganha,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Esports",Latin America,Latin America,
Apostala,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Sports Betting",Latin America,Latin America,
Bally's Interactive,"Supplier (product, technology or service)","Casino & Games, Lottery, Sports Betting, Security/Cyber-security","Europe, North America, Asia, Latin America, Australasia","Europe, North America, Asia, Latin America, Australasia",https://www.intralot.com/
Global App Testing,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Payments","Europe, North America, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)","Europe, North America, Africa, Latin America",https://www.globalapptesting.com/
Aurora Aces SL,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Latin America, Australasia",MENA (Middle East North Africa),
ApostaMedia,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,"Europe, Asia, Africa, Latin America, MENA (Middle East North Africa)","Europe, North America, Asia, Africa",
OTAK Studio,"Supplier (product, technology or service)",Casino & Games,Africa,Latin America,
Apostar,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Latin America,Europe,
DNS PAY,"Supplier (product, technology or service)",Casino & Games,"Europe, Africa, Latin America","Asia, Australasia, MENA (Middle East North Africa)",
EURO GAMES TECHNOLOGY,"Supplier (product, technology or service)",Casino & Games,"Europe, North America, Asia, Africa, Latin America","Europe, North America, Latin America",
Softquo Holding,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Europe, Asia, Africa, Latin America",North America,
ARB Interactive,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,North America,North America,
Uplatform,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports, Payments","Europe, Asia, Africa, Latin America","Europe, Asia, Africa, Latin America",
Aristocrat Interactive,Operator (team involved in offering betting / games / slots to consumers),"Casino & Games, Lottery, Sports Betting","Europe, North America, Africa, Latin America",Latin America,
VOISO,"Supplier (product, technology or service)","Casino & Games, Other","Europe, Asia, Africa, Latin America, Australasia, MENA (Middle East North Africa)",North America,https://voiso.com/
ARRISE Powering Pragmatic Play,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
ARRISE Powering Pragmatic Play,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
SOFTSWISS,"Supplier (product, technology or service)",Casino & Games,Latin America,Africa,http://www.softswiss.com/
Sport Global,"Supplier (product, technology or service)","Casino & Games, Sports Betting, Social","Europe, North America","Europe, North America",
Softquo Holding,"Supplier (product, technology or service)","Casino & Games, Sports Betting","Europe, Asia, Africa, Latin America",North America,http://www.spinmatic.com/
ARRISE Powering Pragmatic Play,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Sk [media],"Supplier (product, technology or service)","Casino & Games, Sports Betting, Esports","Europe, Asia, Africa, Latin America","Europe, Asia, Africa, Latin America",
ARRISE Powering Pragmatic Play,Operator (team involved in offering betting / games / slots to consumers),Casino & Games,Europe,Europe,
Revtrust,"Supplier (product, technology or service)","Casino & Games, Social","Europe, Australasia, MENA (Middle East North Africa)",Europe,
